,DESTINATION,KEYWORDS,ORIGIN
31721,ORD,overhead,PHX
31722,ORD,holds,PHX
31723,ORD,passengers,PHX
31724,ORD,boarding,PHX
31725,ORD,hard,PHX
31726,ORD,time,PHX
31727,ORD,putting,PHX
31728,ORD,overheads,PHX
31729,ORD,annoying,PHX
31730,HNL,seats,EWR
31731,HNL,changed,EWR
31732,HNL,last,EWR
31733,HNL,minute,EWR
31734,HNL,lost,EWR
31735,HNL,economy,EWR
31736,HNL,plus,EWR
31737,HNL,seating,EWR
31738,HNL,disappointed,EWR
31739,AUA,able,EWR
31740,AUA,obtain,EWR
31741,AUA,boarding,EWR
31742,AUA,pass,EWR
31743,AUA,line,EWR
31744,AUA,daughters,EWR
31745,AUA,allow,EWR
31746,AUA,message,EWR
31747,AUA,kiosk,EWR
31748,AUA,airport,EWR
31749,AUA,passport,EWR
31750,AUA,print,EWR
31751,AUA,arrived,EWR
31752,AUA,2,EWR
31753,AUA,hours,EWR
31754,AUA,flight,EWR
31755,AUA,problem,EWR
31756,AUA,kiosks,EWR
31757,AUA,long,EWR
31758,AUA,line,EWR
31759,AUA,finally,EWR
31760,AUA,able,EWR
31761,AUA,access,EWR
31762,AUA,print,EWR
31763,AUA,stand,EWR
31764,AUA,line,EWR
31765,AUA,desk,EWR
31766,AUA,time,EWR
31767,AUA,seat,EWR
31768,AUA,given,EWR
31769,AUA,away,EWR
31770,AUA,flight,EWR
31771,AUA,carry,EWR
31772,AUA,bag,EWR
31773,AUA,always,EWR
31774,AUA,use,EWR
31775,AUA,boarding,EWR
31776,AUA,attendant,EWR
31777,AUA,check,EWR
31778,AUA,went,EWR
31779,AUA,retrieve,EWR
31780,AUA,arrived,EWR
31781,AUA,baggage,EWR
31782,AUA,claim,EWR
31783,AUA,broke,EWR
31784,AUA,finally,EWR
31785,AUA,12,EWR
31786,AUA,able,EWR
31787,AUA,retrieve,EWR
31788,AUA,ive,EWR
31789,AUA,flying,EWR
31790,AUA,years,EWR
31791,AUA,worse,EWR
31792,AUA,experience,EWR
31793,AUA,airline,EWR
31794,SJD,husband,EWR
31795,SJD,los,EWR
31796,SJD,cabos,EWR
31797,SJD,34,EWR
31798,SJD,times,EWR
31799,SJD,year,EWR
31800,SJD,paid,EWR
31801,SJD,extended,EWR
31802,SJD,leg,EWR
31803,SJD,room,EWR
31804,SJD,shocked,EWR
31805,SJD,small,EWR
31806,SJD,space,EWR
31807,SJD,little,EWR
31808,SJD,space,EWR
31809,SJD,actually,EWR
31810,SJD,looked,EWR
31811,SJD,night,EWR
31812,SJD,pay,EWR
31813,SJD,business,EWR
31814,SJD,class,EWR
31815,SJD,full,EWR
31816,SJD,airport,EWR
31817,SJD,full,EWR
31818,SJD,boarded,EWR
31819,SJD,4,EWR
31820,SJD,seats,EWR
31821,SJD,fact,EWR
31822,SJD,available,EWR
31823,SJD,4,EWR
31824,SJD,people,EWR
31825,SJD,given,EWR
31826,SJD,upgrades,EWR
31827,SJD,completely,EWR
31828,SJD,mismanaged,EWR
31829,SJD,happen,EWR
31830,SJD,literally,EWR
31831,SJD,30,EWR
31832,SJD,prior,EWR
31833,SJD,boarding,EWR
31834,SJD,checking,EWR
31835,SJD,weeks,EWR
31836,SJD,days,EWR
31837,SJD,prior,EWR
31838,SJD,trip,EWR
31839,SJD,bottom,EWR
31840,SJD,line,EWR
31841,SJD,old,EWR
31842,SJD,planes,EWR
31843,SJD,need,EWR
31844,SJD,stay,EWR
31845,SJD,retirement,EWR
31846,SJD,worthy,EWR
31847,SJD,extra,EWR
31848,SJD,anything,EWR
31849,SJD,total,EWR
31850,SJD,rip,EWR
31851,LHR,say,EWR
31852,LHR,disappointed,EWR
31853,LHR,business,EWR
31854,LHR,class,EWR
31855,LHR,lounge,EWR
