,DESTINATION,KEYWORDS,ORIGIN
30342,TLV,last,EWR
30343,TLV,recline,EWR
30344,TLV,room,EWR
30345,TLV,bag,EWR
30346,TLV,overhead,EWR
30347,TLV,bin,EWR
30348,TLV,lap,EWR
30349,TLV,though,EWR
30350,TLV,flight,EWR
30351,TLV,painful,EWR
30352,EWR,final,TLV
30353,EWR,meal,TLV
30354,EWR,served,TLV
30355,EWR,55,TLV
30356,EWR,landing,TLV
30357,EWR,served,TLV
30358,EWR,starting,TLV
30359,EWR,55,TLV
30360,EWR,landing,TLV
30361,EWR,last,TLV
30362,EWR,seat,TLV
30363,EWR,meal,TLV
30364,EWR,c,TLV
30365,EWR,announcement,TLV
30366,EWR,service,TLV
30367,EWR,item,TLV
30368,EWR,must,TLV
30369,EWR,picked,TLV
30370,EWR,immediately,TLV
30371,EWR,landing,TLV
30372,EWR,5,TLV
30373,EWR,odd,TLV
30374,EWR,timing,TLV
30375,EWR,perhaps,TLV
30376,EWR,turbulence,TLV
30377,EWR,went,TLV
30378,EWR,gap,TLV
30379,EWR,announcement,TLV
30380,EWR,landing,TLV
30381,EWR,15,TLV
30382,EWR,handed,TLV
30383,EWR,food,TLV
30384,EWR,back,TLV
30385,EWR,sure,TLV
30386,EWR,rate,TLV
30387,EWR,overall,TLV
30388,EWR,service,TLV
30389,EWR,crew,TLV
30390,EWR,everything,TLV
30391,EWR,else,TLV
30392,EWR,smooth,TLV
30393,ORD,loved,SFO
30394,ORD,bed,SFO
30395,ORD,red,SFO
30396,ORD,eye,SFO
30397,ORD,awful,SFO
30398,ORD,pillow,SFO
30399,ORD,blanket,SFO
30400,ORD,food,SFO
